,0
intro,"Cisco Systems, Inc. is an American multinational technology conglomerate headquartered in San Jose, California, in the center of Silicon Valley.  Cisco develops, manufactures and sells networking hardware, software, telecommunications equipment and other high-technology services and products.[3] Through its numerous acquired subsidiaries, such as OpenDNS, Webex, Jabber and Jasper, Cisco specializes in specific tech markets, such as the Internet of Things (IoT), domain security and energy management. Cisco is incorporated in California.[4]
"
Type,Public
Traded as,NASDAQ: CSCO NASDAQ-100 component DJIA component S&P 100 component S&P 500 component
Industry,Networking hardwareNetworking software
Founded,"December 10, 1984; 36 years agoSan Francisco, California, United States"
Founders,Leonard BosackSandy Lerner
Headquarters,"San Jose, California, United States[1]"
Area served,Worldwide
Key people,Chuck Robbins (CEO and Chairman)
Products,List of Cisco products
Revenue,US$51.90 billion (2019)[2]
Operating income,US$14.21 billion (2019)[2]
Net income,US$11.62 billion (2019)[2]
Total assets,US$97.79 billion (2019)[2]
Total equity,US$33.57 billion (2019)[2]
Number of employees,"75,900 (2019)[2]"
Subsidiaries,List of acquisitions by Cisco Systems
Website,www.cisco.com
